Card Name,Rarity,Market Price
Dragon Whelp,Uncommon,0.46
Drain Life,Common,0.20
Drain Power,Rare,2.23
Drudge Skeletons,Common,0.17
Dwarven Warriors,Common,0.09
Dwarven Weaponsmith,Uncommon,0.27
Earth Elemental,Uncommon,0.27
Earthbind,Common,0.84
Earthquake,Rare,2.56
Ebony Horse,Rare,0.48
El-Hajjaj,Rare,0.61
Elvish Archers,Rare,1.93
Energy Flux,Uncommon,0.34
Erg Raiders,Common,0.15
Evil Presence,Uncommon,0.27
Eye for an Eye,Rare,1.19
Farmstead,Rare,0.99
Fastbond,Rare,33.36
Fear,Common,0.12
Feedback,Uncommon,0.20
Fire Elemental,Uncommon,0.34
Fireball,Common,0.19
Firebreathing,Common,0.14
Flashfires,Uncommon,0.27
Flight,Common,0.12
Flying Carpet,Rare,0.71
Fog,Common,0.21
Force of Nature,Rare,3.20
Forest (A),Land,0.33
Forest (B),Land,0.58
Forest (C),Land,0.41
Fork,Rare,35.26
Frozen Shade,Common,0.14
Fungusaur,Rare,0.57
Gaea's Liege,Rare,1.70
Giant Growth,Common,0.24
Giant Spider,Common,0.17
Glasses of Urza,Uncommon,0.66
Gloom,Uncommon,0.38
Goblin Balloon Brigade,Uncommon,0.35
Goblin King,Rare,5.65
Granite Gargoyle,Rare,1.67
Gray Ogre,Common,0.09
Green Ward,Uncommon,0.25
Grizzly Bears,Common,0.17
Guardian Angel,Common,0.17
Healing Salve,Common,0.17
Helm of Chatzuk,Rare,0.54
Hill Giant,Common,0.14
Holy Armor,Common,0.13
Holy Strength,Common,0.16
Howl from Beyond,Common,0.13
Howling Mine,Rare,7.31
Hurkyl's Recall,Rare,1.62
Hurloon Minotaur,Common,0.11
Hurricane,Uncommon,0.35
Hypnotic Specter,Uncommon,2.02
Instill Energy,Uncommon,1.29
Iron Star,Uncommon,0.23
Ironroot Treefolk,Common,0.14
Island (A),Land,0.79
Island (B),Land,0.59
Island (C),Land,0.72
Island Fish Jasconius,Rare,0.57
Island Sanctuary,Rare,3.57
Ivory Cup,Uncommon,0.25
Ivory Tower,Rare,2.46
Jade Monolith,Rare,0.45
Jandor's Ring,Rare,0.63
Jandor's Saddlebags,Rare,2.66
Jayemdae Tome,Rare,2.35
Juggernaut,Uncommon,0.65
Jump,Common,0.10
Karma,Uncommon,0.32
Keldon Warlord,Uncommon,0.29
Kird Ape,Common,0.23
Kormus Bell,Rare,1.28
Kudzu,Rare,2.69
Lance,Uncommon,0.23
Ley Druid,Uncommon,0.20
Library of Leng,Uncommon,1.10
Lifeforce,Uncommon,0.27
Lifelace,Rare,0.41
Lifetap,Uncommon,0.28
Lightning Bolt,Common,1.70
Living Artifact,Rare,0.49
Living Lands,Rare,0.67
Living Wall,Uncommon,0.36
Llanowar Elves,Common,1.65
Lord of Atlantis,Rare,9.00
Lord of the Pit,Rare,3.40
Lure,Uncommon,0.46
Magical Hack,Rare,4.08
Magnetic Mountain,Rare,0.39
Mahamoti Djinn,Rare,3.64
Mana Flare,Rare,3.30
Mana Short,Rare,4.04
Mana Vault,Rare,79.32
Manabarbs,Rare,3.70
Meekstone,Rare,7.06
Merfolk of the Pearl Trident,Common,0.15
Mesa Pegasus,Common,0.15
Mijae Djinn,Rare,1.80
Millstone,Rare,2.82
Mind Twist,Rare,6.29
Mishra's War Machine,Rare,0.65
Mons's Goblin Raiders,Common,0.13
Mountain (A),Land,0.33
Mountain (B),Land,0.35
Mountain (C),Land,0.39
Nether Shadow,Rare,1.74
Nettling Imp,Uncommon,0.30
Nevinyrral's Disk,Rare,5.84
Nightmare,Rare,7.38
Northern Paladin,Rare,1.52
Obsianus Golem,Uncommon,0.27
Onulet,Rare,0.45
Orcish Artillery,Uncommon,0.23
Orcish Oriflamme,Uncommon,0.25
Ornithopter,Uncommon,1.88
Paralyze,Common,0.13
Pearled Unicorn,Common,0.16
Personal Incarnation,Rare,0.76
Pestilence,Common,0.28
Phantasmal Forces,Uncommon,0.21
Phantasmal Terrain,Common,0.16
Phantom Monster,Uncommon,0.29
Pirate Ship,Rare,1.23
Plague Rats,Common,0.15
Plains (A),Land,0.40
Plains (B),Land,0.37
Plains (C),Land,0.40
Plateau,Rare,348.82
Power Leak,Common,0.11
Power Sink,Common,0.16
Power Surge,Rare,1.74
Primal Clay,Rare,0.60
Prodigal Sorcerer,Common,0.15
Psychic Venom,Common,0.16
Purelace,Rare,0.44
Raise Dead,Common,0.15
Reconstruction,Common,0.16
Red Elemental Blast,Common,1.71
Red Ward,Uncommon,0.25
Regeneration,Common,0.16
Regrowth,Uncommon,0.80
Resurrection,Uncommon,0.44
Reverse Damage,Rare,1.93
Reverse Polarity,Uncommon,0.26
Righteousness,Rare,1.42
Roc of Kher Ridges,Rare,1.65
Rock Hydra,Rare,3.34
Rocket Launcher,Rare,1.11
Rod of Ruin,Uncommon,0.29
Royal Assassin,Rare,10.77
Sacrifice,Uncommon,2.72
Samite Healer,Common,0.13
Savannah,Rare,317.09
Savannah Lions,Rare,4.72
Scathe Zombies,Common,0.15
Scavenging Ghoul,Uncommon,0.20
Scrubland,Rare,330.96
Scryb Sprites,Common,0.17
Sea Serpent,Common,0.13
Sedge Troll,Rare,2.80
Sengir Vampire,Uncommon,1.26
Serendib Efreet,Rare,3.48
Serra Angel,Uncommon,4.03
Shanodin Dryads,Common,0.13
Shatter,Common,0.17
Shatterstorm,Uncommon,0.31
Shivan Dragon,Rare,12.79
Simulacrum,Uncommon,0.24
Siren's Call,Uncommon,0.28
Sleight of Mind,Rare,0.69
Smoke,Rare,3.68
Sol Ring,Uncommon,16.10
Sorceress Queen,Rare,2.95
Soul Net,Uncommon,0.26
Spell Blast,Common,0.16
Stasis,Rare,6.55
Steal Artifact,Uncommon,0.27
Stone Giant,Uncommon,0.20
Stone Rain,Common,0.20
Stream of Life,Common,0.21
Sunglasses of Urza,Rare,1.59
Swamp (A),Land,0.59
Swamp (B),Land,0.62
Swamp (C),Land,0.71
Swords to Plowshares,Uncommon,4.48
Taiga,Rare,342.67
Terror,Common,0.17
The Hive,Rare,0.77
The Rack,Uncommon,1.05
Thicket Basilisk,Uncommon,0.35
Thoughtlace,Rare,0.59
Throne of Bone,Uncommon,0.24
Timber Wolves,Rare,1.00
Titania's Song,Rare,1.21
Tranquility,Common,0.13
Tropical Island,Rare,498.15
Tsunami,Uncommon,0.28
Tundra,Rare,472.43
Tunnel,Uncommon,0.21
Underground Sea,Rare,771.78
Unholy Strength,Common,0.28
Unstable Mutation,Common,0.19
Unsummon,Common,0.17
Uthden Troll,Uncommon,0.29
Verduran Enchantress,Rare,2.02
Vesuvan Doppelganger,Rare,16.37
Veteran Bodyguard,Rare,2.13
Volcanic Eruption,Rare,0.57
Volcanic Island,Rare,694.32
Wall of Air,Uncommon,0.54
Wall of Bone,Uncommon,0.25
Wall of Brambles,Uncommon,0.20
Wall of Fire,Uncommon,0.22
Wall of Ice,Uncommon,0.32
Wall of Stone,Uncommon,0.28
Wall of Swords,Uncommon,0.27
Wall of Water,Uncommon,0.22
Wall of Wood,Common,0.16
Wanderlust,Uncommon,0.24
War Mammoth,Common,0.12
Warp Artifact,Rare,0.58
Water Elemental,Uncommon,0.25
Weakness,Common,0.13
Web,Rare,0.81
Wheel of Fortune,Rare,297.43
White Knight,Uncommon,0.66
White Ward,Uncommon,0.21
Wild Growth,Common,0.32
Will-o'-the-Wisp,Rare,3.79
Winter Orb,Rare,12.78
Wooden Sphere,Uncommon,0.25
Wrath of God,Rare,8.79
Zombie Master,Rare,8.23
